timestamp,index,utilization_gpu,memory_used_mib,memory_total_mib
2026-07-15T08:02:48+00:00,1, 0, 3, 97871
2026-07-15T08:02:53+00:00,0, 0, 367, 97871
2026-07-15T08:02:53+00:00,1, 0, 3, 97871
2026-07-15T08:02:59+00:00,0, 0, 367, 97871
2026-07-15T08:02:59+00:00,1, 0, 3, 97871
2026-07-15T08:03:04+00:00,0, 0, 367, 97871
2026-07-15T08:03:04+00:00,1, 0, 3, 97871
2026-07-15T08:03:09+00:00,0, 0, 367, 97871
2026-07-15T08:03:09+00:00,1, 0, 3, 97871
2026-07-15T08:03:14+00:00,0, 0, 367, 97871
2026-07-15T08:03:14+00:00,1, 0, 3, 97871
2026-07-15T08:03:19+00:00,0, 0, 367, 97871
2026-07-15T08:03:19+00:00,1, 0, 3, 97871
2026-07-15T08:03:24+00:00,0, 0, 367, 97871
2026-07-15T08:03:24+00:00,1, 0, 3, 97871
2026-07-15T08:03:29+00:00,0, 0, 367, 97871
2026-07-15T08:03:29+00:00,1, 0, 3, 97871
2026-07-15T08:03:34+00:00,0, 0, 367, 97871
2026-07-15T08:03:34+00:00,1, 0, 3, 97871
2026-07-15T08:03:39+00:00,0, 0, 367, 97871
2026-07-15T08:03:39+00:00,1, 0, 3, 97871
2026-07-15T08:03:44+00:00,0, 0, 367, 97871
2026-07-15T08:03:44+00:00,1, 0, 3, 97871
2026-07-15T08:03:49+00:00,0, 0, 1501, 97871
2026-07-15T08:03:49+00:00,1, 0, 3, 97871
2026-07-15T08:03:55+00:00,0, 0, 1689, 97871
2026-07-15T08:03:55+00:00,1, 0, 3, 97871
2026-07-15T08:04:00+00:00,0, 0, 3287, 97871
2026-07-15T08:04:00+00:00,1, 0, 3, 97871
2026-07-15T08:04:05+00:00,0, 0, 3671, 97871
2026-07-15T08:04:05+00:00,1, 0, 3, 97871
2026-07-15T08:04:10+00:00,0, 0, 3671, 97871
2026-07-15T08:04:10+00:00,1, 0, 3, 97871
2026-07-15T08:04:15+00:00,0, 14, 3671, 97871
2026-07-15T08:04:15+00:00,1, 0, 3, 97871
2026-07-15T08:04:20+00:00,0, 0, 3671, 97871
2026-07-15T08:04:20+00:00,1, 0, 3, 97871
2026-07-15T08:04:25+00:00,0, 21, 3671, 97871
2026-07-15T08:04:25+00:00,1, 0, 3, 97871
2026-07-15T08:04:30+00:00,0, 9, 3671, 97871
2026-07-15T08:04:30+00:00,1, 0, 3, 97871
2026-07-15T08:04:36+00:00,0, 0, 3671, 97871
2026-07-15T08:04:36+00:00,1, 0, 3, 97871
2026-07-15T08:04:41+00:00,0, 6, 4695, 97871
2026-07-15T08:04:41+00:00,1, 0, 3, 97871
2026-07-15T08:04:46+00:00,0, 5, 4695, 97871
2026-07-15T08:04:46+00:00,1, 0, 3, 97871
2026-07-15T08:04:51+00:00,0, 0, 4695, 97871
2026-07-15T08:04:51+00:00,1, 0, 3, 97871
2026-07-15T08:04:56+00:00,0, 0, 4695, 97871
2026-07-15T08:04:56+00:00,1, 0, 3, 97871
2026-07-15T08:05:01+00:00,0, 0, 4695, 97871
2026-07-15T08:05:01+00:00,1, 0, 3, 97871
2026-07-15T08:05:06+00:00,0, 41, 4695, 97871
